,DISPLAY_AIRPORT_NAME,ORIGIN_CITY_NAME
0,Adams Field,"Little Rock, AR"
1,Albany International,"Albany, NY"
2,Albuquerque International Sunport,"Albuquerque, NM"
3,Allen C Thompson Field,"Jackson/Vicksburg, MS"
4,Anchorage International,"Anchorage, AK"
5,Asheville Regional,"Asheville, NC"
6,Aspen Pitkin County Sardy Field,"Aspen, CO"
7,Atlanta Municipal,"Atlanta, GA"
8,Austin - Bergstrom International,"Austin, TX"
9,Baton Rouge Metropolitan/Ryan Field,"Baton Rouge, LA"
10,Birmingham Airport,"Birmingham, AL"
11,Blue Grass,"Lexington, KY"
12,Boise Air Terminal,"Boise, ID"
13,Bradley International,"Hartford, CT"
14,Burlington International,"Burlington, VT"
15,Cedar Rapids Municipal,"Cedar Rapids/Iowa City, IA"
16,Charleston International,"Charleston, SC"
17,Cherry Capital,"Traverse City, MI"
18,Chicago Midway International,"Chicago, IL"
19,Chicago O'Hare International,"Chicago, IL"
20,Cincinnati/Northern Kentucky International,"Cincinnati, OH"
21,Cleveland-Hopkins International,"Cleveland, OH"
22,Columbia Metropolitan,"Columbia, SC"
23,Dallas Fort Worth Regional,"Dallas/Fort Worth, TX"
24,Dallas Love Field,"Dallas, TX"
25,Des Moines Municipal,"Des Moines, IA"
26,Detroit Metro Wayne County,"Detroit, MI"
27,Douglas Municipal,"Charlotte, NC"
28,El Paso International,"El Paso, TX"
29,Eppley Airfield,"Omaha, NE"
30,Fort Lauderdale-Hollywood International,"Fort Lauderdale, FL"
31,Fresno Air Terminal,"Fresno, CA"
32,Friendship International,"Baltimore, MD"
33,Gallatin Field,"Bozeman, MT"
34,General Mitchell Field,"Milwaukee, WI"
35,Greater Buffalo International,"Buffalo, NY"
36,Greenville-Spartanburg,"Greer, SC"
37,Grenier Field/Manchester Municipal,"Manchester, NH"
38,Hollywood-Burbank Midpoint,"Burbank, CA"
39,Honolulu International,"Honolulu, HI"
40,Houston Intercontinental,"Houston, TX"
41,Huntsville International-Carl T Jones Field,"Huntsville, AL"
42,Indianapolis Muni/Weir Cook,"Indianapolis, IN"
43,Jackson Hole,"Jackson, WY"
44,Jacksonville International,"Jacksonville, FL"
45,James M Cox/Dayton International,"Dayton, OH"
46,John F. Kennedy International,"New York, NY"
47,Kahului Airport,"Kahului, HI"
48,Kansas City International,"Kansas City, MO"
49,Keahole,"Kona, HI"
50,Kent County,"Grand Rapids, MI"
51,LaGuardia,"New York, NY"
52,Lambert-St. Louis International,"St. Louis, MO"
53,Lihue Airport,"Lihue, HI"
54,Logan International,"Boston, MA"
55,Long Beach Daugherty Field,"Long Beach, CA"
56,Los Angeles International,"Los Angeles, CA"
57,Louis Armstrong New Orleans International,"New Orleans, LA"
58,Lovell Field,"Chattanooga, TN"
59,McCarran International,"Las Vegas, NV"
60,McGhee Tyson,"Knoxville, TN"
61,Memphis International,"Memphis, TN"
62,Metropolitan Oakland International,"Oakland, CA"
63,Miami International,"Miami, FL"
64,Midland Regional Air Trml,"Midland/Odessa, TX"
65,Minneapolis-St Paul International,"Minneapolis, MN"
66,Myrtle Beach International,"Myrtle Beach, SC"
67,Nashville International,"Nashville, TN"
68,Newark Liberty International,"Newark, NJ"
69,Norfolk International,"Norfolk, VA"
70,Northwest Arkansas Regional,"Fayetteville, AR"
71,Northwest Florida Regional,"Valparaiso, FL"
72,Ontario International,"Ontario, CA"
73,Orange County,"Santa Ana, CA"
74,Orlando International,"Orlando, FL"
75,Palm Beach International,"West Palm Beach/Palm Beach, FL"
76,Palm Springs International,"Palm Springs, CA"
77,Pensacola Regional,"Pensacola, FL"
78,Peterson Field,"Colorado Springs, CO"
79,Philadelphia International,"Philadelphia, PA"
80,Phoenix Sky Harbor International,"Phoenix, AZ"
81,Piedmont Triad International,"Greensboro/High Point, NC"
82,Pittsburgh International,"Pittsburgh, PA"
83,Port Columbus International,"Columbus, OH"
84,Portland International,"Portland, OR"
85,Portland International Jetport,"Portland, ME"
86,Puerto Rico International,"San Juan, PR"
87,Raleigh-Durham International,"Raleigh/Durham, NC"
88,Rapid City Regional,"Rapid City, SD"
89,Reno/Tahoe International,"Reno, NV"
90,Richmond International,"Richmond, VA"
91,Rochester Monroe County,"Rochester, NY"
92,Ronald Reagan Washington National,"Washington, DC"
93,Sacramento International,"Sacramento, CA"
94,Salt Lake City International,"Salt Lake City, UT"
95,San Antonio International,"San Antonio, TX"
96,San Diego International Lindbergh Fl,"San Diego, CA"
97,San Francisco International,"San Francisco, CA"
98,San Jose International,"San Jose, CA"
99,Santa Barbara Municipal,"Santa Barbara, CA"
100,Savannah/Hilton Head International,"Savannah, GA"
101,Seattle International,"Seattle, WA"
102,Southwest Florida International,"Fort Myers, FL"
103,Spokane International,"Spokane, WA"
104,Springfield-Branson National,"Springfield, MO"
105,Standiford Field,"Louisville, KY"
106,Stapleton International,"Denver, CO"
107,Syracuse Hancock International,"Syracuse, NY"
108,Tallahassee Regional,"Tallahassee, FL"
109,Tampa International,"Tampa, FL"
110,Theodore Francis Green State,"Providence, RI"
111,Truax Field,"Madison, WI"
112,Tucson International,"Tucson, AZ"
113,Tulsa International,"Tulsa, OK"
114,Washington Dulles International,"Washington, DC"
115,Westchester County,"White Plains, NY"
116,Wichita Mid-Continent,"Wichita, KS"
117,Will Rogers World,"Oklahoma City, OK"
118,William P Hobby,"Houston, TX"
119,Wilmington International,"Wilmington, NC"
