ORIGIN_CITY_NAME,NAME
"Atlanta, GA","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US"
"Austin, TX","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US"
"Baltimore, MD","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US"
"Boston, MA","BOSTON, MA US"
"Charlotte, NC","CHARLOTTE DOUGLAS AIRPORT, NC US"
"Chicago, IL","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US"
"Cincinnati, OH","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US"
"Cleveland, OH","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US"
"Columbus, OH","COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US"
"Dallas, TX","DALLAS FAA AIRPORT, TX US"
"Dallas/Fort Worth, TX","FORT WORTH MEACHAM FIELD, TX US"
"Denver, CO","DENVER INTERNATIONAL AIRPORT, CO US"
"Detroit, MI","DETROIT METRO AIRPORT, MI US"
"Fort Lauderdale, FL","FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US"
"Fort Myers, FL","FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US"
"Honolulu, HI","HONOLULU INTERNATIONAL AIRPORT, HI US"
"Houston, TX","HOUSTON INTERCONTINENTAL AIRPORT, TX US"
"Indianapolis, IN","INDIANAPOLIS INTERNATIONAL AIRPORT, IN US"
"Jacksonville, FL","JACKSONVILLE INTERNATIONAL AIRPORT, FL US"
"Kansas City, MO","KANSAS CITY INTERNATIONAL AIRPORT, MO US"
"Las Vegas, NV","MCCARRAN INTERNATIONAL AIRPORT, NV US"
"Los Angeles, CA","LOS ANGELES INTERNATIONAL AIRPORT, CA US"
"Miami, FL","MIAMI INTERNATIONAL AIRPORT, FL US"
"Minneapolis, MN","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US"
"Nashville, TN","NASHVILLE INTERNATIONAL AIRPORT, TN US"
"New Orleans, LA","NEW ORLEANS AIRPORT, LA US"
"New York, NY","LAGUARDIA AIRPORT, NY US"
"Newark, NJ","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US"
"Oakland, CA","SACRAMENTO METROPOLITAN AIRPORT, CA US"
"Orlando, FL","ORLANDO INTERNATIONAL AIRPORT, FL US"
"Philadelphia, PA","PHILADELPHIA INTERNATIONAL AIRPORT, PA US"
"Phoenix, AZ","PHOENIX AIRPORT, AZ US"
"Pittsburgh, PA","PITTSBURGH ALLEGHENY CO AIRPORT, PA US"
"Portland, OR","PORTLAND INTERNATIONAL AIRPORT, OR US"
"Raleigh/Durham, NC","RALEIGH AIRPORT, NC US"
"Sacramento, CA","SACRAMENTO METROPOLITAN AIRPORT, CA US"
"Salt Lake City, UT","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US"
"San Antonio, TX","SAN ANTONIO INTERNATIONAL AIRPORT, TX US"
"San Diego, CA","SAN DIEGO INTERNATIONAL AIRPORT, CA US"
"San Francisco, CA","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US"
"San Jose, CA","SAN JOSE INTERNATIONAL AIRPORT, CA US"
"Santa Ana, CA","SANTA ANA JOHN WAYNE AIRPORT, CA US"
"Seattle, WA","SEATTLE TACOMA AIRPORT, WA US"
"St. Louis, MO","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US"
"Tampa, FL","TAMPA INTERNATIONAL AIRPORT, FL US"
"Washington, DC","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US"
